athlete_id,exercise,date,weight_kg,sets,reps,rpe
ATH001,Squat,2024-01-01,80.0,4,8,7.0
ATH001,Squat,2024-01-03,82.5,4,8,7.5
ATH001,Squat,2024-01-08,85.0,4,8,8.0
ATH001,Deadlift,2024-01-01,120.0,3,5,8.0
ATH001,Deadlift,2024-01-03,122.5,3,5,8.5
ATH001,Deadlift,2024-01-08,125.0,3,5,9.0
ATH001,Bench Press,2024-01-01,60.0,3,10,7.0
ATH001,Bench Press,2024-01-03,62.5,3,10,7.5
ATH001,Bench Press,2024-01-08,65.0,3,10,8.0
ATH001,Pull-ups,2024-01-01,0.0,3,12,6.0
ATH001,Pull-ups,2024-01-03,5.0,3,10,7.0
ATH001,Pull-ups,2024-01-08,7.5,3,8,8.0
ATH001,Overhead Press,2024-01-01,40.0,3,8,7.0
ATH001,Overhead Press,2024-01-03,42.5,3,8,7.5
ATH001,Overhead Press,2024-01-08,45.0,3,8,8.0
ATH001,Log Press,2024-01-05,50.0,3,6,8.0
ATH001,Log Press,2024-01-10,52.5,3,6,8.5
ATH001,Yoke Walk,2024-01-05,200.0,3,20,7.5
ATH001,Yoke Walk,2024-01-10,210.0,3,20,8.0
ATH001,Stone Loading,2024-01-07,100.0,3,5,8.5
ATH001,Stone Loading,2024-01-12,105.0,3,5,9.0
ATH002,Squat,2024-01-02,60.0,3,10,6.0
ATH002,Squat,2024-01-04,62.5,3,10,6.5
ATH002,Squat,2024-01-09,65.0,3,10,7.0
ATH002,Deadlift,2024-01-02,90.0,3,5,7.0
ATH002,Deadlift,2024-01-04,92.5,3,5,7.5
ATH002,Deadlift,2024-01-09,95.0,3,5,8.0
ATH002,Bench Press,2024-01-02,45.0,3,12,6.0
ATH002,Bench Press,2024-01-04,47.5,3,12,6.5
ATH002,Bench Press,2024-01-09,50.0,3,12,7.0
ATH002,Pull-ups,2024-01-02,0.0,3,8,5.0
ATH002,Pull-ups,2024-01-04,2.5,3,8,6.0
ATH002,Pull-ups,2024-01-09,5.0,3,8,7.0
ATH002,Overhead Press,2024-01-02,30.0,3,10,6.0
ATH002,Overhead Press,2024-01-04,32.5,3,10,6.5
ATH002,Overhead Press,2024-01-09,35.0,3,10,7.0
ATH002,Log Press,2024-01-06,35.0,3,8,7.0
ATH002,Log Press,2024-01-11,37.5,3,8,7.5
ATH002,Yoke Walk,2024-01-06,150.0,3,15,6.5
ATH002,Yoke Walk,2024-01-11,160.0,3,15,7.0
ATH002,Stone Loading,2024-01-08,80.0,3,3,7.5
ATH002,Stone Loading,2024-01-13,85.0,3,3,8.0
ATH003,Squat,2024-01-01,100.0,5,5,8.0
ATH003,Squat,2024-01-03,102.5,5,5,8.5
ATH003,Squat,2024-01-08,105.0,5,5,9.0
ATH003,Deadlift,2024-01-01,140.0,3,3,8.5
ATH003,Deadlift,2024-01-03,145.0,3,3,9.0
ATH003,Deadlift,2024-01-08,150.0,3,3,9.5
ATH003,Bench Press,2024-01-01,70.0,4,8,8.0
ATH003,Bench Press,2024-01-03,72.5,4,8,8.5
ATH003,Bench Press,2024-01-08,75.0,4,8,9.0
ATH003,Pull-ups,2024-01-01,10.0,3,6,8.0
ATH003,Pull-ups,2024-01-03,12.5,3,6,8.5
ATH003,Pull-ups,2024-01-08,15.0,3,6,9.0
ATH003,Overhead Press,2024-01-01,50.0,3,6,8.0
ATH003,Overhead Press,2024-01-03,52.5,3,6,8.5
ATH003,Overhead Press,2024-01-08,55.0,3,6,9.0
ATH003,Log Press,2024-01-05,60.0,3,5,8.5
ATH003,Log Press,2024-01-10,62.5,3,5,9.0
ATH003,Yoke Walk,2024-01-05,250.0,3,25,8.5
ATH003,Yoke Walk,2024-01-10,260.0,3,25,9.0
ATH003,Stone Loading,2024-01-07,120.0,3,4,9.0
ATH003,Stone Loading,2024-01-12,125.0,3,4,9.5
ATH004,Squat,2024-01-02,70.0,3,12,7.0
ATH004,Squat,2024-01-04,72.5,3,12,7.5
ATH004,Squat,2024-01-09,75.0,3,12,8.0
ATH004,Deadlift,2024-01-02,110.0,4,4,7.5
ATH004,Deadlift,2024-01-04,112.5,4,4,8.0
ATH004,Deadlift,2024-01-09,115.0,4,4,8.5
ATH004,Bench Press,2024-01-02,55.0,3,15,7.0
ATH004,Bench Press,2024-01-04,57.5,3,15,7.5
ATH004,Bench Press,2024-01-09,60.0,3,15,8.0
ATH004,Pull-ups,2024-01-02,0.0,4,10,6.5
ATH004,Pull-ups,2024-01-04,5.0,4,8,7.5
ATH004,Pull-ups,2024-01-09,7.5,4,6,8.5
ATH004,Overhead Press,2024-01-02,35.0,4,8,7.0
ATH004,Overhead Press,2024-01-04,37.5,4,8,7.5
ATH004,Overhead Press,2024-01-09,40.0,4,8,8.0
ATH004,Log Press,2024-01-06,40.0,4,6,7.5
ATH004,Log Press,2024-01-11,42.5,4,6,8.0
ATH004,Yoke Walk,2024-01-06,180.0,4,18,7.5
ATH004,Yoke Walk,2024-01-11,190.0,4,18,8.0
ATH004,Stone Loading,2024-01-08,90.0,4,4,8.0
ATH004,Stone Loading,2024-01-13,95.0,4,4,8.5
ATH005,Squat,2024-01-01,90.0,4,6,7.5
ATH005,Squat,2024-01-03,92.5,4,6,8.0
ATH005,Squat,2024-01-08,95.0,4,6,8.5
ATH005,Deadlift,2024-01-01,130.0,3,4,8.0
ATH005,Deadlift,2024-01-03,135.0,3,4,8.5
ATH005,Deadlift,2024-01-08,140.0,3,4,9.0
ATH005,Bench Press,2024-01-01,65.0,4,10,7.5
ATH005,Bench Press,2024-01-03,67.5,4,10,8.0
ATH005,Bench Press,2024-01-08,70.0,4,10,8.5
ATH005,Pull-ups,2024-01-01,7.5,3,8,7.5
ATH005,Pull-ups,2024-01-03,10.0,3,8,8.0
ATH005,Pull-ups,2024-01-08,12.5,3,8,8.5
ATH005,Overhead Press,2024-01-01,45.0,3,8,7.5
ATH005,Overhead Press,2024-01-03,47.5,3,8,8.0
ATH005,Overhead Press,2024-01-08,50.0,3,8,8.5
ATH005,Log Press,2024-01-05,55.0,3,6,8.0
ATH005,Log Press,2024-01-10,57.5,3,6,8.5
ATH005,Yoke Walk,2024-01-05,220.0,3,22,8.0
ATH005,Yoke Walk,2024-01-10,230.0,3,22,8.5
ATH005,Stone Loading,2024-01-07,110.0,3,4,8.5
ATH005,Stone Loading,2024-01-12,115.0,3,4,9.0
ATH006,Squat,2024-01-02,75.0,5,4,7.0
ATH006,Squat,2024-01-04,77.5,5,4,7.5
ATH006,Squat,2024-01-09,80.0,5,4,8.0
ATH006,Deadlift,2024-01-02,115.0,4,3,7.5
ATH006,Deadlift,2024-01-04,120.0,4,3,8.0
ATH006,Deadlift,2024-01-09,125.0,4,3,8.5
ATH006,Bench Press,2024-01-02,58.0,4,12,7.0
ATH006,Bench Press,2024-01-04,60.0,4,12,7.5
ATH006,Bench Press,2024-01-09,62.0,4,12,8.0
ATH006,Pull-ups,2024-01-02,2.5,4,8,6.0
ATH006,Pull-ups,2024-01-04,5.0,4,8,7.0
ATH006,Pull-ups,2024-01-09,7.5,4,8,8.0
ATH006,Overhead Press,2024-01-02,38.0,4,8,7.0
ATH006,Overhead Press,2024-01-04,40.0,4,8,7.5
ATH006,Overhead Press,2024-01-09,42.0,4,8,8.0
ATH006,Log Press,2024-01-06,42.0,4,6,7.5
ATH006,Log Press,2024-01-11,44.0,4,6,8.0
ATH006,Yoke Walk,2024-01-06,190.0,4,20,7.5
ATH006,Yoke Walk,2024-01-11,200.0,4,20,8.0
ATH006,Stone Loading,2024-01-08,95.0,4,3,8.0
ATH006,Stone Loading,2024-01-13,100.0,4,3,8.5
ATH007,Squat,2024-01-01,85.0,3,10,8.0
ATH007,Squat,2024-01-03,87.5,3,10,8.5
ATH007,Squat,2024-01-08,90.0,3,10,9.0
ATH007,Deadlift,2024-01-01,125.0,3,5,8.5
ATH007,Deadlift,2024-01-03,130.0,3,5,9.0
ATH007,Deadlift,2024-01-08,135.0,3,5,9.5
ATH007,Bench Press,2024-01-01,62.0,3,12,8.0
