athlete_id,exercise,date,weight_kg,sets,reps,rpe
ATH021,Squat,2024-01-01,76.0,4,8,7.0
ATH021,Squat,2024-01-03,78.0,4,8,7.5
ATH021,Squat,2024-01-08,80.0,4,8,8.0
ATH021,Deadlift,2024-01-01,116.0,3,5,8.0
ATH021,Deadlift,2024-01-03,118.0,3,5,8.5
ATH021,Deadlift,2024-01-08,120.0,3,5,9.0
ATH021,Bench Press,2024-01-01,56.0,3,10,7.0
ATH021,Bench Press,2024-01-03,58.0,3,10,7.5
ATH021,Bench Press,2024-01-08,60.0,3,10,8.0
ATH021,Pull-ups,2024-01-01,0.0,3,10,6.0
ATH021,Pull-ups,2024-01-03,4.0,3,8,7.0
ATH021,Pull-ups,2024-01-08,6.0,3,8,8.0
ATH021,Overhead Press,2024-01-01,36.0,3,8,7.0
ATH021,Overhead Press,2024-01-03,38.0,3,8,7.5
ATH021,Overhead Press,2024-01-08,40.0,3,8,8.0
ATH021,Log Press,2024-01-05,43.0,3,6,8.0
ATH021,Log Press,2024-01-10,45.0,3,6,8.5
ATH021,Yoke Walk,2024-01-05,190.0,3,20,7.5
ATH021,Yoke Walk,2024-01-10,195.0,3,20,8.0
ATH021,Stone Loading,2024-01-07,93.0,3,5,8.5
ATH021,Stone Loading,2024-01-12,98.0,3,5,9.0
ATH022,Squat,2024-01-02,60.0,3,10,6.0
ATH022,Squat,2024-01-04,62.0,3,10,6.5
ATH022,Squat,2024-01-09,64.0,3,10,7.0
ATH022,Deadlift,2024-01-02,90.0,3,5,7.0
ATH022,Deadlift,2024-01-04,92.0,3,5,7.5
ATH022,Deadlift,2024-01-09,94.0,3,5,8.0
ATH022,Bench Press,2024-01-02,44.0,3,12,6.0
ATH022,Bench Press,2024-01-04,46.0,3,12,6.5
ATH022,Bench Press,2024-01-09,48.0,3,12,7.0
ATH022,Pull-ups,2024-01-02,0.0,3,8,5.0
ATH022,Pull-ups,2024-01-04,1.5,3,8,6.0
ATH022,Pull-ups,2024-01-09,3.0,3,8,7.0
ATH022,Overhead Press,2024-01-02,26.0,3,10,6.0
ATH022,Overhead Press,2024-01-04,28.0,3,10,6.5
ATH022,Overhead Press,2024-01-09,30.0,3,10,7.0
ATH022,Log Press,2024-01-06,30.0,3,8,7.0
ATH022,Log Press,2024-01-11,32.0,3,8,7.5
ATH022,Yoke Walk,2024-01-06,140.0,3,15,6.5
ATH022,Yoke Walk,2024-01-11,145.0,3,15,7.0
ATH022,Stone Loading,2024-01-08,73.0,3,3,7.5
ATH022,Stone Loading,2024-01-13,77.0,3,3,8.0
ATH023,Squat,2024-01-01,96.0,5,5,8.0
ATH023,Squat,2024-01-03,98.0,5,5,8.5
ATH023,Squat,2024-01-08,100.0,5,5,9.0
ATH023,Deadlift,2024-01-01,136.0,3,3,8.5
ATH023,Deadlift,2024-01-03,140.0,3,3,9.0
ATH023,Deadlift,2024-01-08,144.0,3,3,9.5
ATH023,Bench Press,2024-01-01,66.0,4,8,8.0
ATH023,Bench Press,2024-01-03,68.0,4,8,8.5
ATH023,Bench Press,2024-01-08,70.0,4,8,9.0
ATH023,Pull-ups,2024-01-01,7.0,3,6,8.0
ATH023,Pull-ups,2024-01-03,9.0,3,6,8.5
ATH023,Pull-ups,2024-01-08,11.0,3,6,9.0
ATH023,Overhead Press,2024-01-01,46.0,3,6,8.0
ATH023,Overhead Press,2024-01-03,48.0,3,6,8.5
ATH023,Overhead Press,2024-01-08,50.0,3,6,9.0
ATH023,Log Press,2024-01-05,56.0,3,5,8.5
ATH023,Log Press,2024-01-10,58.0,3,5,9.0
ATH023,Yoke Walk,2024-01-05,240.0,3,25,8.5
ATH023,Yoke Walk,2024-01-10,245.0,3,25,9.0
ATH023,Stone Loading,2024-01-07,116.0,3,4,9.0
ATH023,Stone Loading,2024-01-12,120.0,3,4,9.5
ATH024,Squat,2024-01-02,70.0,3,12,7.0
ATH024,Squat,2024-01-04,72.0,3,12,7.5
ATH024,Squat,2024-01-09,74.0,3,12,8.0
ATH024,Deadlift,2024-01-02,106.0,4,4,7.5
ATH024,Deadlift,2024-01-04,108.0,4,4,8.0
ATH024,Deadlift,2024-01-09,110.0,4,4,8.5
ATH024,Bench Press,2024-01-02,52.0,3,15,7.0
ATH024,Bench Press,2024-01-04,54.0,3,15,7.5
ATH024,Bench Press,2024-01-09,56.0,3,15,8.0
ATH024,Pull-ups,2024-01-02,0.0,4,10,6.5
ATH024,Pull-ups,2024-01-04,3.0,4,8,7.5
ATH024,Pull-ups,2024-01-09,5.0,4,6,8.5
ATH024,Overhead Press,2024-01-02,32.0,4,8,7.0
ATH024,Overhead Press,2024-01-04,34.0,4,8,7.5
ATH024,Overhead Press,2024-01-09,36.0,4,8,8.0
ATH024,Log Press,2024-01-06,36.0,4,6,7.5
ATH024,Log Press,2024-01-11,38.0,4,6,8.0
ATH024,Yoke Walk,2024-01-06,170.0,4,18,7.5
ATH024,Yoke Walk,2024-01-11,175.0,4,18,8.0
ATH024,Stone Loading,2024-01-08,86.0,4,4,8.0
ATH024,Stone Loading,2024-01-13,90.0,4,4,8.5
ATH025,Squat,2024-01-01,86.0,4,6,7.5
ATH025,Squat,2024-01-03,88.0,4,6,8.0
ATH025,Squat,2024-01-08,90.0,4,6,8.5
ATH025,Deadlift,2024-01-01,126.0,3,4,8.0
ATH025,Deadlift,2024-01-03,130.0,3,4,8.5
ATH025,Deadlift,2024-01-08,134.0,3,4,9.0
ATH025,Bench Press,2024-01-01,60.0,4,10,7.5
ATH025,Bench Press,2024-01-03,62.0,4,10,8.0
ATH025,Bench Press,2024-01-08,64.0,4,10,8.5
ATH025,Pull-ups,2024-01-01,5.0,3,8,7.5
ATH025,Pull-ups,2024-01-03,7.0,3,8,8.0
ATH025,Pull-ups,2024-01-08,9.0,3,8,8.5
ATH025,Overhead Press,2024-01-01,40.0,3,8,7.5
ATH025,Overhead Press,2024-01-03,42.0,3,8,8.0
ATH025,Overhead Press,2024-01-08,44.0,3,8,8.5
ATH025,Log Press,2024-01-05,48.0,3,6,8.0
ATH025,Log Press,2024-01-10,50.0,3,6,8.5
ATH025,Yoke Walk,2024-01-05,210.0,3,22,8.0
ATH025,Yoke Walk,2024-01-10,215.0,3,22,8.5
ATH025,Stone Loading,2024-01-07,103.0,3,4,8.5
ATH025,Stone Loading,2024-01-12,106.0,3,4,9.0
ATH026,Squat,2024-01-02,71.0,5,4,7.0
ATH026,Squat,2024-01-04,73.0,5,4,7.5
ATH026,Squat,2024-01-09,75.0,5,4,8.0
ATH026,Deadlift,2024-01-02,110.0,4,3,7.5
ATH026,Deadlift,2024-01-04,114.0,4,3,8.0
ATH026,Deadlift,2024-01-09,118.0,4,3,8.5
ATH026,Bench Press,2024-01-02,54.0,4,12,7.0
ATH026,Bench Press,2024-01-04,56.0,4,12,7.5
ATH026,Bench Press,2024-01-09,58.0,4,12,8.0
ATH026,Pull-ups,2024-01-02,1.5,4,8,6.0
ATH026,Pull-ups,2024-01-04,3.0,4,8,7.0
ATH026,Pull-ups,2024-01-09,5.0,4,8,8.0
ATH026,Overhead Press,2024-01-02,34.0,4,8,7.0
ATH026,Overhead Press,2024-01-04,36.0,4,8,7.5
